,일자,계(명),국내발생(명),해외유입(명),사망(명)
0,20200120,1,0,1,0
1,20200121,0,0,0,0
2,20200122,0,0,0,0
3,20200123,0,0,0,0
4,20200124,1,0,1,0
5,20200125,0,0,0,0
6,20200126,1,0,1,0
7,20200127,1,0,1,0
8,20200128,0,0,0,0
9,20200129,0,0,0,0
10,20200130,3,1,2,0
11,20200131,4,3,1,0
12,20200201,1,0,1,0
13,20200202,3,1,2,0
14,20200203,0,0,0,0
15,20200204,1,0,1,0
16,20200205,5,3,2,0
17,20200206,3,1,2,0
18,20200207,0,0,0,0
19,20200208,0,0,0,0
20,20200209,3,1,2,0
21,20200210,1,1,0,0
22,20200211,0,0,0,0
23,20200212,0,0,0,0
24,20200213,0,0,0,0
25,20200214,0,0,0,0
26,20200215,0,0,0,0
27,20200216,2,2,0,0
28,20200217,0,0,0,0
29,20200218,2,2,0,0
30,20200219,34,34,0,0
31,20200220,16,16,0,1
32,20200221,74,74,0,0
33,20200222,190,190,0,2
34,20200223,210,209,1,0
35,20200224,207,206,1,4
36,20200225,130,129,1,1
37,20200226,253,252,1,3
38,20200227,449,447,2,1
39,20200228,427,427,0,1
40,20200229,909,909,0,3
41,20200301,595,593,2,1
42,20200302,686,684,2,6
43,20200303,600,599,1,5
44,20200304,516,516,0,4
45,20200305,438,437,1,3
46,20200306,518,518,0,7
47,20200307,483,483,0,2
48,20200308,367,366,1,6
49,20200309,248,247,1,1
50,20200310,131,131,0,3
51,20200311,242,239,3,6
52,20200312,114,112,2,6
53,20200313,110,107,3,1
54,20200314,107,102,5,5
55,20200315,76,72,4,3
56,20200316,74,70,4,0
57,20200317,84,79,5,6
58,20200318,93,80,13,3
59,20200319,152,135,17,7
60,20200320,87,73,14,3
61,20200321,147,126,21,8
62,20200322,98,77,21,2
63,20200323,64,46,18,7
64,20200324,76,46,30,9
65,20200325,100,42,58,6
66,20200326,104,56,48,5
67,20200327,91,57,34,8
68,20200328,146,90,56,5
69,20200329,105,38,67,8
70,20200330,78,35,43,6
71,20200331,125,88,37,4
72,20200401,101,56,45,3
73,20200402,89,43,46,4
74,20200403,86,37,49,5
75,20200404,94,53,41,3
